OBJECTID,InspectDate,RecordUpdatedDate,SiteName,MineName,Mineral,County,Quadrangle,MineAcres,Directions,OlacRank,x,y,WaterName,WaterDescription,Basin,WaterAcres,DistanceMineWater
12,12/19/2002 7:00 PM,,MRV152A_206-211,,IRON,Louisa,Ferncliff,3,From charlottesville proceed on I-64 Easte to SR 559 North. 4.25 miles on the left is a drit/gravel road proceed .25 miles to another dirt/gravel intersection. This is the site location. The first gravel road is the 3rd left after SR 640,C,-78.046,37.974,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,3,0.7133
13,10/18/2001 8:00 PM,3/20/2016 8:00 PM,MRV19B_501,,GOLD,Patrick,Meadows of Dan,5,"   From Meadows of Dan (58-E), go 0.3 miles.  Turn right onto 602.  Go 0.6 miles. Turn left onto 601.  Follow until 606 forks off to right; take 606.  Go about 1 mile, until 606 forks.  Take right fork to end of road.",C,-80.417,36.674,Townes Reservoir,Dan River from Pinnacles Power House to Townes Dam.,Roanoke,5,0.4217
14,4/16/2002 8:00 PM,,MRV51C_604,,COPPER,Floyd,Willis,1,"   From town of Floyd, VA, take 221 South for about 4.3 miles.  Turn left onto Black Ridge Road.  Go about 6.6 miles.  Look for Wanda Ingle's house on right.  It is a brick house. Filled in shaft is in her front yard.",A,-80.394,36.798,Unnamed tributary,Burks Fork from the Floyd/Carroll County line upstream including all named and unnamed tributaries.,New,0.25,0.0714
15,1/8/2003 7:00 PM,3/14/2016 8:00 PM,MRV189B_901,,COAL,Augusta,Reddish Knob,7,"   Take 250W from Churchville.  turn right onto 728, left onto 730, and left onto 718.  Go thru stokesville.  After passing hearthstone lake turn right 1/3 mile down at trail sign.  Follow trail to test pits, river to site",C,-79.152,38.389,Unnamed tributary,Little River from its confluence with the North River at Route 718 upstream including all named and unnamed tributaries.,Potomac-Shenandoah,7,0.9531
16,9/20/2001 8:00 PM,,MRV19B_301,,MICA,Patrick,Meadows of Dan,1,"   Blue Ridge South to Meadows of Dan. Take rte 58-E for approx 1 1/2 mile. As soon as you cross Dan River, pull into lot on left next to a carousel.  Quarry is across road and up 100 ft on right",C,-80.382,36.736,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,0.8644
17,9/20/2001 8:00 PM,,MRV19B_302,,MICA,Patrick,Meadows of Dan,2,"    Blue Ridge Parkway South to Meadows of Dan.Turn East on rte 58. Cross Dan River (approx 1 1/2 miles). 1/4 mile from river at sharp bend to left, turn left at dirt road right before a white house.  Mine is 100 yds back path and on right.",B,-80.378,36.734,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,1,1.1823
18,9/28/2001 8:00 PM,3/20/2016 8:00 PM,MRV51C_606,,IRON,Floyd,Willis,5,"   From town of Floyd (Rte 8 S), turn right onto 221-S.  Go about 4.3 miles.  Turn left onto Black Ridge Rd.  Go about 5.7 miles. Turn right onto Rush Fork Rd.  Go about 1.5-2.0 miles. Slusher Farm on left.",C,-80.412,36.832,Unnamed tributary,Burks Fork from the Floyd/Carroll County line upstream including all named and unnamed tributaries.,New,1.5,2.4043
19,9/28/2001 8:00 PM,3/20/2016 8:00 PM,MRV51C_607,,IRON,Floyd,Willis,0.25,"      From town of Floyd (Rte 8 S), turn right onto 221-S.  Go about 4.5 miles.  Turn left onto Canning Factory Rd. and make immediate right onto Black Ridge Rd. Go about 0.7 miles. Take first gravel drive on left.  Go down below the brown cabin house into woods; follow access road to site.",A,-80.387,36.802,Unnamed tributary,East Prong Furnace Creek from its confluence with Furnace Creek upstream including all named and unnamed tributaries.,New,0.25,0.3809
20,12/31/2001 7:00 PM,,MRV152A_902,,GOLD,Goochland,Ferncliff,2," exit right onto 605 off 64, take a right onto 250 in shannon hill, verr right at first road, park behind church and head back into woods 150 yds perpendicular to road",C,-78.038,37.876,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,2,1.3866
21,3/22/2002 7:00 PM,3/16/2016 8:00 PM,MRV152D_152,Tellurium,GOLD,Fluvanna,Caledonia,10,"      !.5 miles North on 605 from Caldonia, take left at house on road, park behind on dirt road on right. walk in about 0.5 miles to intersection with dirt road. OR exit right onto 605 from Interstate 64, about 30 miles east of charlottesville, and vear right at house on road about 5 miles from exit, and park on dirt road.",A,-78.104,37.845,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,15,0.5694
22,4/17/2002 8:00 PM,2/28/2017 7:00 PM,MRV152D_134,,GOLD,Fluvanna,Caledonia,10,"1.5 miles North on 605 from Caledonia-make left at white house on road, park on dirt road on right behind house, and walk in, OR take right onto 605 from 64 and take right at white house about 5 miles from exit and follow rest of directions listed above",C,-78.102,37.846,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,15,0.4953
23,2/8/2002 7:00 PM,,MRV160C_901-913,,IRON,Alleghany,Jerrys Run,10,"        From town of Crows, VA, turn right onto route 159.  Travel about 5.6 miles, look for valley on left with a row of 4-5 houses.  Pull into last driveway on left.  Cross suspension bridge over Dunlap Creek.  Site is entire knob.",A,-80.136,37.759,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,10,0.5074
24,2/8/2002 7:00 PM,3/22/2016 8:00 PM,MRV176B_407-408,,IRON,Augusta,Churchville,1,Interstate 64 West to Interstate 81 North to Route 250 West to Route 254 West to 688 North.  Approximately 1/2 mile climb up the mountain on the right side of the road.,C,-79.204,38.194,Unnamed tributary,"Middle River and its tributaries from the confluence with the North River upstream to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,1,0.4691
25,2/8/2002 7:00 PM,,MRV176B_405,,IRON,Augusta,Churchville,1,"   Interstate 64 West to Interstate 81 North to Route 250 West to Rtoute 254 West until the town of Buffalo Gap.  Once you enter Buffalo Gap, the 'Our Place' restaurant will be on the left side of the road.  Approximately 1/2 mile past the restaurant, there is a foot trail on the left side of the road.  Take that trail to the top of the mountain. ",B,-79.245,38.176,Unnamed tributary,"Middle River and its tributaries from the confluence with the North River upstream to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,1,1.4197
26,2/8/2002 7:00 PM,,MRV176B_406,,IRON,Augusta,Churchville,1,"Interstate 64 West to Interstate 81 North to Route 250 West to Rtoute 254 West until the town of Buffalo Gap.  Once you enter Buffalo Gap, the 'Our Place' restaurant will be on the left side of the road.  Approximately 1/2 mile past the restaurant, there is a foot trail on the left side of the road.  Take that trail to the top of the mountain.   ",C,-79.242,38.15,Unnamed tributary,"Middle River and its tributaries from the confluence with the North River upstream to its headwaters, unless otherwise designated in this chapter.",Potomac-Shenandoah,1,0.8270
27,2/22/2002 7:00 PM,,MRV138D_602,,IRON,Craig,Paint Bank,1,"From the town of Blacksburg, take harding ave (turns into Catawba, then Blacksburg Road) to the end.  Turn left on route 311 north.  Travel through town of Newcastle and into Craig county-about 1-2 miles before reaching Paint Bank fish hatchery.  Look for cemetary on left.  Park there and follow trail past driveway of cemetary.  Follow trail to second draw.  Site is at the top of the hillside on the right.",C,-80.26,37.56,Unnamed tributary,Paint Bank Branch from its confluence with Potts Creek upstream including all named and unnamed tributaries.,James-Upper,1,0.8006
28,2/15/2002 7:00 PM,,MRV138d_604-608,,IRON,Craig,Paint Bank,1,"From I81, take 311 north to town of Paint Bank .  At town, look for general store on left.  Sites are on right side of road.  Follow grassy road on right cross a small creek.  Sites are near creek on small knob.",C,-80.259,37.568,Unnamed tributary,Paint Bank Branch from its confluence with Potts Creek upstream including all named and unnamed tributaries.,James-Upper,1,0.2318
29,2/15/2002 7:00 PM,,MRV138d_609-611,,MANGANESE,Craig,Paint Bank,1,From I81 take 311 north to town of Paint Bank.  Take 18 north just outside of town.  Follow for about 1/2 mile.  Last farm on left is property owner.,C,-80.256,37.576,Unnamed tributary,Paint Bank Branch from its confluence with Potts Creek upstream including all named and unnamed tributaries.,James-Upper,1,0.5370
30,2/27/2002 7:00 PM,,MRV175D_402,,IRON,Augusta,Waynesboro East,2,"  From Waynesbro leave the city going East on SR 622, about 1 mile from edge of town make a left onto Walden Lane. Procede on dirt road to a sharp left. Entering the forest here it is about .5 miles directly upslope. Within sight of the crown of the hill.",C,-78.845,38.082,Unnamed tributary,"South Fork Shenandoah River from 5 miles above the Town of Shenandoah's raw water intake to its confluence with the North and South Rivers and its tributaries to their headwaters in this section, and the South River and its tributaries from its confluenc",Potomac-Shenandoah,2,0.9439
31,6/22/2001 8:00 PM,,MRV50D_401,,IRON,Patrick,Philpott Lake,1,Go down route 57 to enter Fairystone State Park (route 346).  Turn left at office and follow road leading down hill.  Bear left go past old bridge on trail.  Site on left.,C,-80.12,36.793,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.0125
32,7/2/2001 8:00 PM,4/16/2018 8:00 PM,MRV50D_403,,IRON,Patrick,Philpott Lake,1,Located off lkof route 623 about 3 miles from route 57.,Reclaimed,-80.119,36.799,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.2484
33,2/22/2002 7:00 PM,10/24/2017 8:00 PM,MRV129B_601,,GOLD,Cumberland,Lakeside Village,1,"   From I64 take 522south untill rt. 6. make a right on to  6 going east. from 6 make a right on to 690 south. cross the James River. about 2miles south make a right on 602 east. about 1 mile east make a right on 605 south. The site is across from a motocross park. if you cross willis river, you have gone to far. the site is to the left of 605 when traviling south and on top of the ridge.",C,-78.148,37.692,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.1415
34,2/22/2002 7:00 PM,10/22/2017 8:00 PM,MRV129B_602,Au Prospect,GOLD,Cumberland,Lakeside Village,1,"    from I64 take 522 south exit . stay on 522 untill rt. 6 east. from 6 east make a right on to 690 south. Cross the James River. make a left on 602 east. then a right on 605. the site is on the left side of the road across from a race car track. there is a old dirt road, which may be hadr to see from 605, but it will lead you to the site.",C,-78.144,37.695,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,0.4901
35,4/6/2002 7:00 PM,10/16/2017 8:00 PM,MRV152D_701,,GOLD,Goochland,Caledonia,1," From I64 take the 605 south exit and turn right. go all the way down 605 untill about 1/2 mile from the flivanna Co. line. you will be able to see the green  county sign. turn left on a dirt road. it is next to a house and is is the last dirt road before the county line. go all the was down this dirt road untill you reach the steam. there is a bridge but it is not crossable. the site is right of the road, down the hill, and next to another little stream. notice that there are sevral pits in the area! be carfull! vary carfull!",A,-78.124,37.787,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.1650
36,4/6/2002 7:00 PM,10/16/2017 8:00 PM,MRV152D_706,,GOLD,Goochland,Caledonia,1," From I64 take the 605 south exit and turn right. go all the way down 605 untill about 1/2 mile from the flivanna Co. line. you will be able to see the green  county sign. turn left on a dirt road. it is next to a house and is is the last dirt road before the county line. go all the was down this dirt road untill you reach the steam. there is a bridge but it is not crossable. the site is right of the road, down the hill, and next to another little stream. notice that there are sevral pits in the area! be carfull! vary carfull!",A,-78.123,37.787,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.0914
37,2/4/2002 7:00 PM,3/22/2016 8:00 PM,MRV191D_903-904,,IRON,Highland,Monterey SE,1,"    Note:  Latitude and Longitude Measurements for this site were taken from HWY 678.  From McDowell Virginia:  Some advice.  Take a quadrangle map with you with the site on it when you are trying to find this one.  It is not that easy to find.  Take route 678 heading Southwest of McDowell for approximately 3.5 miles.  You will pass Route 615 on your right while driving.  Approximately 1 mile past Route 615 you will come upon a road/path leading off of the left hand side of the road (If you come to a place called  Clover Creek you have gone a little too far).  Take the path.  This path will go straight, then off to the left, then straight again (I believe it crossed a stream somewhere in the process).  Once the path straightens out as soon as you get into the woodsy section of the path stop and look off to your left.  This is where sites 903 and 904 are located.  You will be able to see the bottom of an old mine shaft at the bottom of the hill, just across a stream.  If you climb up the hill approximately 100 yards, you will be able to see the top of the shaft.      ",A,-79.534,38.269,Unnamed tributary,"James River and its tributaries from Balcony Falls to their headwaters, unless otherwise designated in this chapter. (The Maury River between its confluence with the James River upstream to its headwaters (the confluence of the Calfpasture and Little Cal",James-Upper,1,1.2112
38,4/6/2002 7:00 PM,10/16/2017 8:00 PM,MRV152D_704,,GOLD,Goochland,Caledonia,1,"      From I64 take the 605 south exit and turn right. go all the way down 605 untill about 1/2 mile from the flivanna Co. line. you will be able to see the green  county sign. turn left on a dirt road. it is next to a house and is is the last dirt road before the county line. go all the was down this dirt road untill you reach the steam. there is a bridge but it is not crossable. the site is right of the road, down the hill, and next to another little stream. notice that there are sevral pits in the area! be carfull! vary carfull!",A,-78.124,37.787,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.1650
39,2/18/2002 7:00 PM,,MRV154B_601,,IRON,Albemarle,Covesville,3,"   From Charlottesville take 29 South about 10 miles, to SR 692, turn left on to 692. This road turns into SR 712. Follow SR 712 till it passes under tain tracks, .25 miles after passing under the train tracks turn right onto Laird Road (Laird and Co. Apple Products). Follow Laird Road back and to Wilder Lane and cross rail road tracks again, a right. Follow Wilder Lane up hill and far right as you can go. At the end of the road walk right around the mountain till finding a fire road leading directly away fromt he apple orchard below. The fire road passes between a trench and a pit on the site. The fire road should bring you to the top of the hill.",C,-78.647,37.943,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,3,1.3638
40,2/20/2002 7:00 PM,10/1/2017 8:00 PM,"MRV154B_701,801",,IRON,Albemarle,Covesville,1,"   From Covesville on Route 29:  Head to Covesville on 29 South out of Charlottesville.  When on the South end of Covesville take a left onto Covesville Rd.  Go for approximately .4 mile and then take another Left onto Covesville Lane.  Continue all of the way to the end of Covesville Lane and you will come to a house.  This is a good place to park your car.  The man and woman who live in the house are very nice.  To find the actual mines I would recommend taking a GPS unit.  The mines are far up the hill.  Both are off to the left of the house.  One by about 50 yards to left (100 yards uphill), the other by about 200-300 yards to the left (300-400 yards uphill) (Note: these distances are estimates).   ",C,-78.707,37.881,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.3158
41,3/6/2002 7:00 PM,,MRV152C_902,,GOLD,Fluvanna,Columbia,1,64 E Take Exit 136 to U.S.-15 S Take Rt. 6 E to Rt. 659 N Go to top of hill; site is along road on the right before reaching Stage Junction,C,-78.153,37.787,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,0,0.1360
42,3/8/2002 7:00 PM,2/28/2017 7:00 PM,MRV152D_155,,GOLD,Goochland,Caledonia,1,64 E Exit 149 to Rt. 605 Site is on the right hand side of road in woods about a mile from Tabscott.,C,-78.092,37.846,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,2,0.6076
43,3/23/2002 7:00 PM,,"MRV152A_201, 202",,IRON,Louisa,Ferncliff,1,Take a right on light duty road 641 (heading east) from light duty road 640. Travel about 3/4 mile and take a left on unimproved dirt road. Sites 201 and 202 are slightly visible from this road on the left side.,C,-78.056,37.964,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,1,0.3016
44,3/23/2002 7:00 PM,,"MRV152A_203, 204",,IRON,Louisa,Ferncliff,1,From light duty road 640 take a right onto light duty road 641 (heading east). Travel for about 3/4 miles and turn left on a dirt road. Sites are located about 1/2 mile down this road on the left. Site 204 is located 20 yards from site 203.,C,-78.053,37.967,Unnamed tributary,"Free flowing portions of the Mattaponi and Pamunkey Rivers, free flowing tributaries of the Mattaponi above Clifton, and free flowing tributaries of the Pamunkey above Romancoke, unless otherwise designated in this chapter.",York,1,0.5540
45,3/8/2002 7:00 PM,,MRV152D_210-213,,GOLD,Goochland,Caledonia,15,64 E Exit 149 Rt. 605 (Shannon Hill Road) Turn left about 1.5 miles- Address: 4964 Shannon Hill Road. * Sites are surrounding the property in woods and in front yard.,C,-78.05,37.869,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,2,1.1260
46,7/2/2001 8:00 PM,,MRV50D_404,,IRON,Patrick,Philpott Lake,1,"Take route 8 south from Floyd county.  Turn east on route 57.after about 10 miles, turn left onto route 346.  Turn left onto route 623.  Follow for about 5 miles.  Site will be on right, located directly off of trail going into Stuart Knob mountain.",C,-80.118,36.799,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.1650
47,7/2/2001 8:00 PM,,MRV50D_405-406,,IRON,Patrick,Philpott Lake,1,"Take route 8 south from Floyd.  Turn east onto route 57.Follow about 10 miles, turn left on route 346.  Turn left onto route 623.  Site will be on right.Sites are located on either side of the Iron Mine trail.",C,-80.12,36.798,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.2551
48,10/5/2001 8:00 PM,,MRV50D_408,,IRON,Patrick,Philpott Lake,1,Take route 8 south from floyd county.  Turn east onto 57.  after 10 miles turn left on route 346.  Turn left on route 623.  Follow for approx. 1.5 miles.  Look for small stream on left.  Follow stream back then straight up mountain.  Mines will be along park boundary border.,C,-80.116,36.813,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.9181
49,7/16/2001 8:00 PM,,MRV50D_407,,IRON,Patrick,Philpott Lake,1,Take route 8 south from floyd.  Take route 57 towards Bassett.  Turn on 346 north.  Proceed to 623 and go about 2 miles before turning onto route 717.  Site is about 300 feet on the left in a drainage before park property.,C,-80.116,36.813,Fairystone Lake (Goblin Town Creek),"Philpott Reservoir, Fairystone Lake and their tributaries.",Roanoke,1,0.9181
50,10/5/2001 8:00 PM,,MRV50D_902,,MICA,Henry,Philpott Lake,1,"    from floyd, take route 8 south to 57 east.  Follow for 10 miles, look for 904 on left.  follow out until you see some radio antennas on right.  park there.  Follow power line on foot down the valley and up other side.  Ridge in middle of valley go to the top.  Follow jeep trail NE for 100yards.  Look carefully at right for small pit.",C,-80.022,36.774,Philpott Reservoir Lower (Smith River),"Smith River (Philpott Reservoir portion) from the Philpott Dam (river mile 46.80) to river mile 61.14, just above the confluence with Small Creek.",Roanoke,1,0.9094
51,7/2/2001 8:00 PM,10/15/2017 8:00 PM,MRV50D_903,,MICA,Henry,Philpott Lake,1,Take route 8 south from floyd.  take 57 east.  approx. 10 miles.  Look for 904 on left.  Site will be on right.,C,-80.024,36.779,Philpott Reservoir Lower (Smith River),"Smith River (Philpott Reservoir portion) from the Philpott Dam (river mile 46.80) to river mile 61.14, just above the confluence with Small Creek.",Roanoke,1,0.4084
52,9/16/2002 8:00 PM,10/17/2017 8:00 PM,MRV51A_602,Powhatten Williams,GOLD,Floyd,Floyd,1,"  About 1 mile from 221-N on 860, right at Pine Creek Way.",C,-80.275,36.922,Unnamed tributary,Pine Creek (Floyd County) from its confluence with Little River upstream including all named and unnamed tributaries.,New,1,0.5775
53,7/14/2001 8:00 PM,3/21/2016 8:00 PM,MRV18D_601,,GOLD,Henry,Spencer,0.35,Take 629 South from Spencer.  Take 58 west about 10 miles to 629 South at town of Penn Store.  Follow this road about 15 miles.  Site will be located on left at intersection of 695 and 629.,C,-80.025,36.572,Unnamed tributary,"Intrastate tributaries to the Dan River above the Virginia/North Carolina state line just east of Draper, North Carolina, to their headwaters, unless otherwise designated in this chapter.",Roanoke,0.35,0.6256
54,3/8/2002 7:00 PM,,MRV152D_208,,GOLD,Goochland,Caledonia,1,"    see attached map. on north Route 605 (Shannon Hill Road) just after crossing over route 603, there is a house at 4853 Shannon Hill Road.  The site is parallel to the house, across the driveway.",C,-78.061,37.866,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,3,0.5045
55,7/5/2001 8:00 PM,3/20/2016 8:00 PM,MRV19C_401,,MICA,Patrick,Claudville,2,"  From Claudville Take 103-W approx. 3 3/4 miles.  Turn right onto 614, go approx. 3/4 mile. Site is on right.",C,-80.49,36.562,Unnamed tributary,"Interstate streams in the Dan River watershed above the point where the Dan crosses the Virginia/North Carolina state line just east of Draper, North Carolina, (including the Mayo and the Smith watersheds), unless otherwise designated in this chapter.",Roanoke,2,0.1307
56,7/5/2001 8:00 PM,3/20/2016 8:00 PM,MRV19C_601,,MICA,Patrick,Claudville,2,From Claudville Take 103-W approx. 1/2 mile.  Turn left onto 650.  Continue on 650 for approx. 2 miles.  Turn left onto 645. Site is approx 0.2 miles on left.,C,-80.416,36.559,Unnamed tributary,Dan River from the Virginia/North Carolina state line upstream to the Pinnacles Power House.,Roanoke,2,0.4632
57,4/6/2002 7:00 PM,2/8/2017 7:00 PM,MRV152C_613,,GOLD,Fluvanna,Columbia,1,0.1 MI off East side of forest road 2957 about 0.65 MI by road South of junction with state road 605.,C,-78.134,37.808,Unnamed tributary,"James River and its tributaries from a point at latitude 37deg40'32""; longitude 77deg54'08"" to, and including the Rockfish River, unless otherwise designated in this chapter.",James-Middle,1,1.3486
